marketPrice,marketPriceDate,averageListPrice,averageListQty,benchmarkTradePrice,mk_price_minus_bmk_price,list_price_minus_bmk_price,benchmarkTradeDate,wineName,region,vintage,importdate,lwin_11,lwin_7
412,17/05/2021,437,2,220,192,217,17/06/2015,"Chateau Batailley 5eme Cru Classe, Pauillac",Bordeaux,2002,18/05/2021,10063222002,1006322
3300,18/06/2021,3510,10,3180,120,330,05/03/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2003,19/06/2021,10060452003,1006045
7906,20/05/2021,8122,2,7124,782,998,15/02/2019,"Domaine Leflaive, Chevalier-Montrachet Grand Cru",Burgundy,2016,21/05/2021,10734012016,1073401
4400,20/05/2021,4860,27,4400,0,460,29/09/2020,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2001,21/05/2021,10127812001,1012781
4400,12/05/2021,5018,7,4160,240,858,19/03/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2019,21/05/2021,10127812019,1012781
589,17/05/2021,622,52,450,139,172,04/05/2021,"Chateau Batailley 5eme Cru Classe, Pauillac",Bordeaux,2005,18/05/2021,10063222005,1006322
3300,18/06/2021,3510,10,3180,120,330,05/03/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2003,19/06/2021,10060452003,1006045
3900,19/05/2021,4529,30,3684,216,845,10/06/2020,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2002,21/05/2021,10127812002,1012781
589,17/05/2021,622,52,450,139,172,04/05/2021,"Chateau Batailley 5eme Cru Classe, Pauillac",Bordeaux,2005,18/05/2021,10063222005,1006322
1024,19/05/2021,1182,11,1072,-48,110,20/01/2021,"Tignanello, Toscana",Tuscany,2009,21/05/2021,10953912009,1095391
16200,20/05/2021,16056,0,18750,-2550,-2694,29/08/2018,"Jacques-Frederic Mugnier, Chambolle-Musigny Premier Cru, Les Amoureuses",Burgundy,2015,21/05/2021,10496422015,1049642
1350,20/05/2021,1473,61,1260,90,213,18/02/2021,"Gaja, Barbaresco",Piedmont,2015,21/05/2021,10996052015,1099605
10500,20/05/2021,12516,69,9844,656,2672,29/03/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2015,21/05/2021,10127812015,1012781
450,17/05/2021,450,1,340,110,110,31/08/2018,"Chateau Batailley 5eme Cru Classe, Pauillac",Bordeaux,2007,18/05/2021,10063222007,1006322
1350,20/05/2021,1449,7,1352,-2,97,23/09/2020,"Gaja, Barbaresco",Piedmont,2011,21/05/2021,10996052011,1099605
490,17/05/2021,553,20,504,-14,49,06/04/2021,"Chateau Batailley 5eme Cru Classe, Pauillac",Bordeaux,2009,18/05/2021,10063222009,1006322
2232,20/05/2021,2335,5,2190,42,145,01/05/2021,"Gaja, Barbaresco",Piedmont,2004,21/05/2021,10996052004,1099605
6250,20/05/2021,7004,40,6116,134,888,07/05/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2005,21/05/2021,10127812005,1012781
3300,17/06/2021,3510,10,3180,120,330,05/03/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2003,18/06/2021,10060452003,1006045
1300,19/05/2021,1523,12,1300,0,223,28/09/2020,"Gaja, Barbaresco",Piedmont,2014,21/05/2021,10996052014,1099605
490,19/05/2021,553,19,388,102,165,29/09/2020,"Tua Rita, Giusto di Notri, Toscana",Tuscany,2015,21/05/2021,11058072015,1105807
3827,20/05/2021,4484,63,4116,-289,368,25/02/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2004,21/05/2021,10127812004,1012781
8000,20/05/2021,8613,7,6974,1026,1639,14/03/2021,"Domaine Leflaive, Chevalier-Montrachet Grand Cru",Burgundy,2017,21/05/2021,10734012017,1073401
520,20/05/2021,563,5,460,60,103,05/05/2020,"Tua Rita, Giusto di Notri, Toscana",Tuscany,2008,21/05/2021,11058072008,1105807
1050,20/05/2021,1213,12,860,190,353,08/03/2021,"Tignanello, Toscana",Tuscany,2013,21/05/2021,10953912013,1095391
3740,20/05/2021,3978,48,3520,220,458,07/04/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2013,21/05/2021,10127812013,1012781
3300,17/06/2021,3510,10,3180,120,330,05/03/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2003,18/06/2021,10060452003,1006045
6300,20/05/2021,7565,55,5922,378,1643,13/04/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2010,21/05/2021,10127812010,1012781
6650,20/05/2021,7645,42,6500,150,1145,12/05/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2009,21/05/2021,10127812009,1012781
1280,20/05/2021,1338,6,1200,80,138,06/03/2021,"Tignanello, Toscana",Tuscany,2007,21/05/2021,10953912007,1095391
1244,20/05/2021,1578,3,882,362,696,26/04/2019,"Tignanello, Toscana",Tuscany,2003,21/05/2021,10953912003,1095391
790,20/05/2021,937,115,814,-24,123,13/05/2021,"Tignanello, Toscana",Tuscany,2017,21/05/2021,10953912017,1095391
950,20/05/2021,1003,61,863,87,140,10/05/2021,"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",Bordeaux,2006,21/05/2021,10074752006,1007475
490,17/05/2021,553,20,504,-14,49,06/04/2021,"Chateau Batailley 5eme Cru Classe, Pauillac",Bordeaux,2009,18/05/2021,10063222009,1006322
3758,20/05/2021,4033,79,3690,68,343,13/04/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2011,21/05/2021,10127812011,1012781
2872,20/05/2021,2872,2,2554,318,318,22/05/2020,"Gaja, Barbaresco",Piedmont,2006,21/05/2021,10996052006,1099605
907,19/05/2021,1051,39,805,102,246,20/11/2019,"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",Bordeaux,2001,21/05/2021,10074752001,1007475
3700,20/05/2021,4067,126,3700,0,367,06/05/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2017,21/05/2021,10127812017,1012781
3860,19/05/2021,4747,73,3800,60,947,07/04/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2006,21/05/2021,10127812006,1012781
3300,16/06/2021,3510,10,3180,120,330,05/03/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2003,17/06/2021,10060452003,1006045
3850,20/05/2021,4179,43,3560,290,619,20/11/2020,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2012,21/05/2021,10127812012,1012781
12402,20/05/2021,12557,2,12850,-448,-293,30/11/2020,"Jacques-Frederic Mugnier, Chambolle-Musigny Premier Cru, Les Amoureuses",Burgundy,2011,21/05/2021,10496422011,1049642
3300,16/06/2021,3510,10,3180,120,330,05/03/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2003,17/06/2021,10060452003,1006045
400,17/05/2021,463,9,355,45,108,15/04/2021,"Chateau Batailley 5eme Cru Classe, Pauillac",Bordeaux,2012,18/05/2021,10063222012,1006322
1000,20/05/2021,1162,86,975,25,187,12/04/2021,"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",Bordeaux,2005,21/05/2021,10074752005,1007475
1238,28/06/2021,1268,38,1100,138,168,28/06/2021,"Tignanello, Toscana",Tuscany,2016,29/06/2021,10953912016,1095391
400,17/05/2021,463,9,355,45,108,15/04/2021,"Chateau Batailley 5eme Cru Classe, Pauillac",Bordeaux,2012,18/05/2021,10063222012,1006322
460,28/06/2021,489,188,420,40,69,28/05/2021,"Tua Rita, Giusto di Notri, Toscana",Tuscany,2016,29/06/2021,11058072016,1105807
300,17/05/2021,301,110,304,-4,-3,10/01/2021,"Chateau Batailley 5eme Cru Classe, Pauillac",Bordeaux,2013,18/05/2021,10063222013,1006322
10500,28/06/2021,11893,50,9800,700,2093,11/06/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2015,29/06/2021,10127812015,1012781
3900,28/06/2021,4495,25,3684,216,811,10/06/2020,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2002,29/06/2021,10127812002,1012781
3826,28/06/2021,4515,55,4116,-290,399,25/02/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2004,29/06/2021,10127812004,1012781
1024,07/07/2021,1255,4,1072,-48,183,20/01/2021,"Tignanello, Toscana",Tuscany,2009,08/07/2021,10953912009,1095391
1326,07/07/2021,1560,4,1170,156,390,24/06/2021,"Tignanello, Toscana",Tuscany,2010,08/07/2021,10953912010,1095391
7800,28/06/2021,8255,5,7330,470,925,02/06/2021,"Domaine Leflaive, Chevalier-Montrachet Grand Cru",Burgundy,2018,29/06/2021,10734012018,1073401
1408,28/06/2021,1389,4,1238,170,151,02/11/2020,"Tignanello, Toscana",Tuscany,2006,29/06/2021,10953912006,1095391
950,28/06/2021,1019,52,863,87,156,10/05/2021,"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",Bordeaux,2006,29/06/2021,10074752006,1007475
3750,24/06/2021,4198,39,3560,190,638,20/11/2020,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2012,29/06/2021,10127812012,1012781
6557,28/06/2021,6557,0,3920,2637,2637,26/04/2017,"Domaine Leflaive, Chevalier-Montrachet Grand Cru",Burgundy,2006,29/06/2021,10734012006,1073401
6830,28/06/2021,7741,47,7086,-256,655,11/06/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2009,29/06/2021,10127812009,1012781
3300,15/06/2021,3497,9,3180,120,317,05/03/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2003,16/06/2021,10060452003,1006045
1080,28/06/2021,1216,48,950,130,266,03/05/2021,"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",Bordeaux,2018,29/06/2021,10074752018,1007475
4400,31/05/2021,4852,22,4400,0,452,29/09/2020,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2001,01/06/2021,10127812001,1012781
3300,15/06/2021,3497,9,3180,120,317,05/03/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2003,16/06/2021,10060452003,1006045
660,31/05/2021,724,4,390,270,334,18/08/2017,"Tua Rita, Giusto di Notri, Toscana",Tuscany,2006,01/06/2021,11058072006,1105807
415,17/05/2021,535,46,364,51,171,12/05/2021,"Chateau Batailley 5eme Cru Classe, Pauillac",Bordeaux,2016,18/05/2021,10063222016,1006322
3300,14/06/2021,3497,9,3180,120,317,05/03/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2003,15/06/2021,10060452003,1006045
880,28/06/2021,967,9,725,155,242,13/04/2021,"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",Bordeaux,2007,29/06/2021,10074752007,1007475
3300,14/06/2021,3497,9,3180,120,317,05/03/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2003,15/06/2021,10060452003,1006045
5000,31/05/2021,5046,8,4160,840,886,19/03/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2019,01/06/2021,10127812019,1012781
990,31/05/2021,1114,22,1000,-10,114,12/04/2021,"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",Bordeaux,2010,01/06/2021,10074752010,1007475
14520,31/05/2021,14387,1,12000,2520,2387,28/05/2020,"Jacques-Frederic Mugnier, Chambolle-Musigny Premier Cru, Les Amoureuses",Burgundy,2014,01/06/2021,10496422014,1049642
3300,11/06/2021,3497,9,3180,120,317,05/03/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2003,13/06/2021,10060452003,1006045
3300,11/06/2021,3455,11,3180,120,275,05/03/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2003,12/06/2021,10060452003,1006045
8400,31/05/2021,8933,1,5960,2440,2973,01/08/2017,"Domaine Leflaive, Chevalier-Montrachet Grand Cru",Burgundy,2010,01/06/2021,10734012010,1073401
900,31/05/2021,1092,30,800,100,292,21/11/2019,"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",Bordeaux,2003,01/06/2021,10074752003,1007475
1500,31/05/2021,1683,49,1408,92,275,09/04/2021,"Gaja, Barbaresco",Piedmont,2016,01/06/2021,10996052016,1099605
415,17/05/2021,536,47,364,51,172,12/05/2021,"Chateau Batailley 5eme Cru Classe, Pauillac",Bordeaux,2016,19/05/2021,10063222016,1006322
17000,26/05/2021,14962,7,13000,4000,1962,29/04/2021,"Jacques-Frederic Mugnier, Chambolle-Musigny Premier Cru, Les Amoureuses",Burgundy,2017,01/06/2021,10496422017,1049642
950,31/05/2021,1080,28,842,108,238,22/08/2020,"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",Bordeaux,2019,01/06/2021,10074752019,1007475
415,17/05/2021,529,47,364,51,165,12/05/2021,"Chateau Batailley 5eme Cru Classe, Pauillac",Bordeaux,2016,20/05/2021,10063222016,1006322
3790,28/06/2021,4195,99,3646,144,549,16/06/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2017,29/06/2021,10127812017,1012781
1700,28/06/2021,1652,3,1378,322,274,29/07/2020,"Tignanello, Toscana",Tuscany,2001,29/06/2021,10953912001,1095391
6400,28/06/2021,7230,26,6776,-376,454,10/06/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2005,29/06/2021,10127812005,1012781
1800,28/06/2021,1814,1,1300,500,514,30/05/2019,"Gaja, Barbaresco",Piedmont,2007,29/06/2021,10996052007,1099605
3900,28/06/2021,4260,78,3750,150,510,28/06/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2008,29/06/2021,10127812008,1012781
790,27/05/2021,921,31,801,-11,120,31/05/2021,"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",Bordeaux,2014,01/06/2021,10074752014,1007475
790,31/05/2021,940,143,816,-26,124,27/05/2021,"Tignanello, Toscana",Tuscany,2017,01/06/2021,10953912017,1095391
1350,31/05/2021,1432,7,1352,-2,80,23/09/2020,"Gaja, Barbaresco",Piedmont,2011,01/06/2021,10996052011,1099605
8000,28/06/2021,8692,5,6974,1026,1718,14/03/2021,"Domaine Leflaive, Chevalier-Montrachet Grand Cru",Burgundy,2017,29/06/2021,10734012017,1073401
3300,11/06/2021,3497,9,3180,120,317,05/03/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2003,13/06/2021,10060452003,1006045
6400,28/06/2021,7579,50,5950,450,1629,23/06/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2010,29/06/2021,10127812010,1012781
1024,28/06/2021,1255,4,1072,-48,183,20/01/2021,"Tignanello, Toscana",Tuscany,2009,29/06/2021,10953912009,1095391
5380,31/05/2021,5586,90,5254,126,332,26/05/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2018,01/06/2021,10127812018,1012781
3300,11/06/2021,3455,11,3180,120,275,05/03/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2003,12/06/2021,10060452003,1006045
880,31/05/2021,986,13,725,155,261,13/04/2021,"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",Bordeaux,2007,01/06/2021,10074752007,1007475
5307,28/06/2021,5789,117,5238,69,551,17/05/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2016,29/06/2021,10127812016,1012781
487,31/05/2021,524,45,320,167,204,24/03/2021,"Tua Rita, Giusto di Notri, Toscana",Tuscany,2017,01/06/2021,11058072017,1105807
1264,31/05/2021,1363,8,1172,92,191,07/04/2021,"Tignanello, Toscana",Tuscany,2010,01/06/2021,10953912010,1095391
3560,28/06/2021,4183,39,3525,35,658,18/06/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2007,29/06/2021,10127812007,1012781
1100,28/06/2021,1218,68,1036,64,182,27/05/2021,"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",Bordeaux,2016,29/06/2021,10074752016,1007475
750,30/06/2021,988,36,790,-40,198,01/06/2020,"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",Bordeaux,2011,02/07/2021,10074752011,1007475
1039,27/05/2021,1021,71,940,99,81,13/05/2021,"Tignanello, Toscana",Tuscany,2018,01/06/2021,10953912018,1095391
430,27/05/2021,461,124,380,50,81,25/03/2021,"Tua Rita, Giusto di Notri, Toscana",Tuscany,2018,01/06/2021,11058072018,1105807
6750,31/05/2021,7629,42,6525,225,1104,23/05/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2009,01/06/2021,10127812009,1012781
2232,31/05/2021,2358,5,2190,42,168,01/05/2021,"Gaja, Barbaresco",Piedmont,2004,01/06/2021,10996052004,1099605
1350,31/05/2021,1473,61,1260,90,213,18/02/2021,"Gaja, Barbaresco",Piedmont,2015,01/06/2021,10996052015,1099605
540,31/05/2021,533,3,300,240,233,03/11/2011,"Tua Rita, Giusto di Notri, Toscana",Tuscany,2007,01/06/2021,11058072007,1105807
3900,31/05/2021,4703,77,3861,39,842,28/05/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2006,01/06/2021,10127812006,1012781
3300,10/06/2021,3455,11,3180,120,275,05/03/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2003,11/06/2021,10060452003,1006045
8023,31/05/2021,9841,3,7290,733,2551,21/08/2020,"Domaine Denis Mortet, Chambertin Grand Cru",Burgundy,2017,01/06/2021,10490202017,1049020
14520,28/06/2021,14520,1,12000,2520,2520,28/05/2020,"Jacques-Frederic Mugnier, Chambolle-Musigny Premier Cru, Les Amoureuses",Burgundy,2014,29/06/2021,10496422014,1049642
3600,07/07/2021,4284,81,3690,-90,594,13/04/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2011,08/07/2021,10127812011,1012781
3300,10/06/2021,3455,11,3180,120,275,05/03/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2003,11/06/2021,10060452003,1006045
750,17/06/2021,929,104,740,10,189,21/05/2021,"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",Bordeaux,2017,29/06/2021,10074752017,1007475
880,17/06/2021,980,10,781,99,199,16/11/2020,"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",Bordeaux,2008,29/06/2021,10074752008,1007475
1550,28/06/2021,1557,1,1300,250,257,27/04/2021,"Gaja, Barbaresco",Piedmont,2012,29/06/2021,10996052012,1099605
